code,name
1140869270,"""medroxyprogesterone"""
1140910674,"""ethinylnortestosterone"""
1140857656,"""methyltestosterone product"""
1140865136,"""yohimbine/pemoline/methyltestosterone"""
1140868532,"""testosterone product"""
1140857690,"""oestradiol 25mg implant 36 week"""
1140857700,"""oestradiol 1mg/1ml injection"""
1141165318,"""cetrorelix"""
1140917306,"""bicalutamide"""
1140917310,"""casodex 50mg tablet"""
1140917448,"""oestradiol 1.25g/dose gel"""
1140917450,"""oestrogel 1.25g gel"""
1141171536,"""ganirelix"""
1140884638,"""clomiphene"""
1140884634,"""cyproterone"""
1140870186,"""oestrifen 10mg tablet"""
1140921100,"""triptorelin"""
1140868984,"""nafarelin"""
1140868978,"""gestrinone"""
1140884544,"""leuprorelin"""
1140870248,"""buserelin"""
1140870194,"""goserelin"""
1141157394,"""goserelin product"""
1140868882,"""gonadorelin"""
1141182558,"""urofollitropin"""
1140868722,"""cyclofenil"""
1140868580,"""norethisterone"""
1140869328,"""ethinyloestradiol+norethisterone acetate 20mcg/1mg tablet"""
1140869356,"""mestranol+norethisterone 50micrograms/1mg tablet"""
1141157406,"""norethisterone product"""
1141168324,"""oestradiol+norethisterone acetate 1mg/0.5mg tablet"""
1141181298,"""ethinylestradiol+norethisterone acetate 20mcg/1mg tablet"""
1141181204,"""ethinylestradiol+norgestimate 35mcg/250mcg tablet"""
1141181218,"""ethinylestradiol product"""
1141181220,"""ethinylestradiol"""
1141181240,"""ethinylestradiol+levonorgestrel 30mcg/150mcg tablet"""
1141181286,"""ethinylestradiol+desogestrel 20mcg/150mcg tablet"""
1140869348,"""ethinyloestradiol+norgestimate 35mcg/250mcg tablet"""
1140868520,"""estracombi tts patch"""
1140857628,"""gestone 10mg/1ml injection"""
1140857704,"""ovestin 250micrograms tablet"""
1140857706,"""oestriol 250micrograms tablet"""
1140857708,"""quinestradol"""
1140857710,"""pentovis 250micrograms tablet"""
1140857714,"""quinestrol"""
1140857716,"""estrovis 4mg tablet"""
